Documento 1,Documento 2,Similitud (%)
doc_generado_50.txt,doc_generado_95.txt,0.96
doc_generado_50.txt,doc_generado_8.txt,0.96
doc_generado_50.txt,doc_generado_72.txt,0.96
doc_generado_50.txt,doc_generado_62.txt,0.96
doc_generado_50.txt,doc_generado_6.txt,0.96
doc_generado_50.txt,doc_generado_54.txt,0.96
doc_generado_44.txt,doc_generado_50.txt,0.96
doc_generado_40.txt,doc_generado_50.txt,0.96
doc_generado_11.txt,doc_generado_50.txt,0.96
documento4.txt,doc_generado_50.txt,0.96
doc_generado_23.txt,doc_generado_87.txt,0.96
doc_generado_23.txt,doc_generado_76.txt,0.96
doc_generado_23.txt,doc_generado_71.txt,0.96
doc_generado_23.txt,doc_generado_70.txt,0.96
doc_generado_23.txt,doc_generado_69.txt,0.96
doc_generado_23.txt,doc_generado_66.txt,0.96
doc_generado_23.txt,doc_generado_49.txt,0.96
doc_generado_23.txt,doc_generado_43.txt,0.96
doc_generado_23.txt,doc_generado_41.txt,0.96
doc_generado_23.txt,doc_generado_3.txt,0.96
doc_generado_23.txt,doc_generado_29.txt,0.96
doc_generado_23.txt,doc_generado_28.txt,0.96
documento2.txt,doc_generado_23.txt,0.96
doc_generado_68.txt,doc_generado_86.txt,0.96
doc_generado_58.txt,doc_generado_86.txt,0.96
doc_generado_2.txt,doc_generado_68.txt,0.96
doc_generado_2.txt,doc_generado_58.txt,0.96
doc_generado_1.txt,doc_generado_91.txt,0.96
doc_generado_1.txt,doc_generado_90.txt,0.96
doc_generado_1.txt,doc_generado_25.txt,0.96
doc_generado_1.txt,doc_generado_12.txt,0.96
documento5.txt,doc_generado_1.txt,0.96
doc_generado_48.txt,doc_generado_80.txt,0.96
doc_generado_48.txt,doc_generado_74.txt,0.96
doc_generado_39.txt,doc_generado_48.txt,0.96
doc_generado_37.txt,doc_generado_48.txt,0.96
doc_generado_35.txt,doc_generado_77.txt,0.96
doc_generado_35.txt,doc_generado_4.txt,0.96
doc_generado_10.txt,doc_generado_48.txt,0.96
documento3.txt,doc_generado_48.txt,0.96
doc_generado_81.txt,doc_generado_95.txt,0.96
doc_generado_8.txt,doc_generado_81.txt,0.96
doc_generado_72.txt,doc_generado_81.txt,0.96
doc_generado_62.txt,doc_generado_81.txt,0.96
doc_generado_6.txt,doc_generado_81.txt,0.96
doc_generado_54.txt,doc_generado_81.txt,0.96
doc_generado_44.txt,doc_generado_81.txt,0.96
doc_generado_40.txt,doc_generado_81.txt,0.96
doc_generado_11.txt,doc_generado_81.txt,0.96
documento4.txt,doc_generado_81.txt,0.96
doc_generado_89.txt,doc_generado_98.txt,0.96
doc_generado_45.txt,doc_generado_73.txt,0.96
doc_generado_16.txt,doc_generado_80.txt,0.96
doc_generado_16.txt,doc_generado_74.txt,0.96
doc_generado_16.txt,doc_generado_39.txt,0.96
doc_generado_16.txt,doc_generado_37.txt,0.96
doc_generado_10.txt,doc_generado_16.txt,0.96
documento3.txt,doc_generado_16.txt,0.96
doc_generado_78.txt,doc_generado_95.txt,0.96
doc_generado_78.txt,doc_generado_8.txt,0.96
doc_generado_72.txt,doc_generado_78.txt,0.96
doc_generado_62.txt,doc_generado_78.txt,0.96
doc_generado_6.txt,doc_generado_78.txt,0.96
doc_generado_54.txt,doc_generado_78.txt,0.96
doc_generado_44.txt,doc_generado_78.txt,0.96
doc_generado_40.txt,doc_generado_78.txt,0.96
doc_generado_11.txt,doc_generado_78.txt,0.96
documento4.txt,doc_generado_78.txt,0.96
doc_generado_21.txt,doc_generado_91.txt,0.96
doc_generado_21.txt,doc_generado_90.txt,0.96
doc_generado_21.txt,doc_generado_25.txt,0.96
doc_generado_12.txt,doc_generado_21.txt,0.96
documento5.txt,doc_generado_21.txt,0.96
doc_generado_80.txt,doc_generado_85.txt,0.95
doc_generado_74.txt,doc_generado_85.txt,0.95
doc_generado_5.txt,doc_generado_80.txt,0.95
doc_generado_5.txt,doc_generado_74.txt,0.95
doc_generado_39.txt,doc_generado_85.txt,0.95
doc_generado_39.txt,doc_generado_5.txt,0.95
doc_generado_37.txt,doc_generado_85.txt,0.95
doc_generado_37.txt,doc_generado_5.txt,0.95
doc_generado_10.txt,doc_generado_85.txt,0.95
doc_generado_10.txt,doc_generado_5.txt,0.95
documento3.txt,doc_generado_85.txt,0.95
documento3.txt,doc_generado_5.txt,0.95
doc_generado_47.txt,doc_generado_87.txt,0.95
doc_generado_47.txt,doc_generado_76.txt,0.95
doc_generado_47.txt,doc_generado_71.txt,0.95
doc_generado_47.txt,doc_generado_70.txt,0.95
doc_generado_47.txt,doc_generado_69.txt,0.95
doc_generado_47.txt,doc_generado_66.txt,0.95
doc_generado_47.txt,doc_generado_49.txt,0.95
doc_generado_43.txt,doc_generado_47.txt,0.95
doc_generado_41.txt,doc_generado_47.txt,0.95
doc_generado_3.txt,doc_generado_47.txt,0.95
doc_generado_29.txt,doc_generado_47.txt,0.95
doc_generado_28.txt,doc_generado_47.txt,0.95
documento2.txt,doc_generado_47.txt,0.95
doc_generado_30.txt,doc_generado_33.txt,0.95
doc_generado_73.txt,doc_generado_88.txt,0.95
doc_generado_36.txt,doc_generado_73.txt,0.95
doc_generado_23.txt,doc_generado_35.txt,0.95
doc_generado_48.txt,doc_generado_89.txt,0.95
doc_generado_60.txt,doc_generado_98.txt,0.95
doc_generado_52.txt,doc_generado_73.txt,0.95
doc_generado_61.txt,doc_generado_87.txt,0.95
doc_generado_61.txt,doc_generado_76.txt,0.95
doc_generado_61.txt,doc_generado_71.txt,0.95
doc_generado_61.txt,doc_generado_70.txt,0.95
doc_generado_61.txt,doc_generado_69.txt,0.95
doc_generado_61.txt,doc_generado_66.txt,0.95
doc_generado_49.txt,doc_generado_61.txt,0.95
doc_generado_43.txt,doc_generado_61.txt,0.95
doc_generado_41.txt,doc_generado_61.txt,0.95
doc_generado_3.txt,doc_generado_61.txt,0.95
doc_generado_29.txt,doc_generado_61.txt,0.95
doc_generado_28.txt,doc_generado_61.txt,0.95
documento2.txt,doc_generado_61.txt,0.95
doc_generado_50.txt,doc_generado_73.txt,0.95
doc_generado_17.txt,doc_generado_87.txt,0.95
doc_generado_17.txt,doc_generado_76.txt,0.95
doc_generado_17.txt,doc_generado_71.txt,0.95
doc_generado_17.txt,doc_generado_70.txt,0.95
doc_generado_17.txt,doc_generado_69.txt,0.95
doc_generado_17.txt,doc_generado_66.txt,0.95
doc_generado_17.txt,doc_generado_49.txt,0.95
doc_generado_17.txt,doc_generado_43.txt,0.95
doc_generado_17.txt,doc_generado_41.txt,0.95
doc_generado_17.txt,doc_generado_3.txt,0.95
doc_generado_17.txt,doc_generado_29.txt,0.95
doc_generado_17.txt,doc_generado_28.txt,0.95
documento2.txt,doc_generado_17.txt,0.95
doc_generado_16.txt,doc_generado_89.txt,0.95
doc_generado_87.txt,doc_generado_92.txt,0.95
doc_generado_76.txt,doc_generado_92.txt,0.95
doc_generado_71.txt,doc_generado_92.txt,0.95
doc_generado_70.txt,doc_generado_92.txt,0.95
doc_generado_69.txt,doc_generado_92.txt,0.95
doc_generado_66.txt,doc_generado_92.txt,0.95
doc_generado_49.txt,doc_generado_92.txt,0.95
doc_generado_43.txt,doc_generado_92.txt,0.95
doc_generado_41.txt,doc_generado_92.txt,0.95
doc_generado_4.txt,doc_generado_77.txt,0.95
doc_generado_3.txt,doc_generado_92.txt,0.95
doc_generado_29.txt,doc_generado_92.txt,0.95
doc_generado_28.txt,doc_generado_92.txt,0.95
documento2.txt,doc_generado_92.txt,0.95
doc_generado_27.txt,doc_generado_97.txt,0.95
doc_generado_27.txt,doc_generado_93.txt,0.95
doc_generado_27.txt,doc_generado_57.txt,0.95
doc_generado_27.txt,doc_generado_42.txt,0.95
doc_generado_27.txt,doc_generado_31.txt,0.95
doc_generado_24.txt,doc_generado_27.txt,0.95
documento1.txt,doc_generado_27.txt,0.95
doc_generado_53.txt,doc_generado_80.txt,0.95
doc_generado_53.txt,doc_generado_74.txt,0.95
doc_generado_39.txt,doc_generado_53.txt,0.95
doc_generado_37.txt,doc_generado_53.txt,0.95
doc_generado_10.txt,doc_generado_53.txt,0.95
documento3.txt,doc_generado_53.txt,0.95
doc_generado_85.txt,doc_generado_89.txt,0.95
doc_generado_5.txt,doc_generado_89.txt,0.95
doc_generado_45.txt,doc_generado_88.txt,0.94
doc_generado_36.txt,doc_generado_45.txt,0.94
doc_generado_26.txt,doc_generado_91.txt,0.94
doc_generado_26.txt,doc_generado_90.txt,0.94
doc_generado_25.txt,doc_generado_26.txt,0.94
doc_generado_12.txt,doc_generado_26.txt,0.94
doc_generado_1.txt,doc_generado_33.txt,0.94
documento5.txt,doc_generado_26.txt,0.94
doc_generado_48.txt,doc_generado_60.txt,0.94
doc_generado_22.txt,doc_generado_87.txt,0.94
doc_generado_22.txt,doc_generado_76.txt,0.94
doc_generado_22.txt,doc_generado_71.txt,0.94
doc_generado_22.txt,doc_generado_70.txt,0.94
doc_generado_22.txt,doc_generado_69.txt,0.94
doc_generado_22.txt,doc_generado_66.txt,0.94
doc_generado_22.txt,doc_generado_49.txt,0.94
doc_generado_22.txt,doc_generado_43.txt,0.94
doc_generado_22.txt,doc_generado_41.txt,0.94
doc_generado_22.txt,doc_generado_3.txt,0.94
doc_generado_22.txt,doc_generado_29.txt,0.94
doc_generado_22.txt,doc_generado_28.txt,0.94
documento2.txt,doc_generado_22.txt,0.94
doc_generado_73.txt,doc_generado_81.txt,0.94
doc_generado_56.txt,doc_generado_91.txt,0.94
doc_generado_56.txt,doc_generado_90.txt,0.94
doc_generado_25.txt,doc_generado_56.txt,0.94
doc_generado_12.txt,doc_generado_56.txt,0.94
documento5.txt,doc_generado_56.txt,0.94
doc_generado_45.txt,doc_generado_52.txt,0.94
doc_generado_45.txt,doc_generado_50.txt,0.94
doc_generado_73.txt,doc_generado_78.txt,0.94
doc_generado_16.txt,doc_generado_60.txt,0.94
doc_generado_35.txt,doc_generado_47.txt,0.94
doc_generado_87.txt,doc_generado_9.txt,0.94
doc_generado_76.txt,doc_generado_9.txt,0.94
doc_generado_71.txt,doc_generado_9.txt,0.94
doc_generado_70.txt,doc_generado_9.txt,0.94
doc_generado_69.txt,doc_generado_9.txt,0.94
